,age,gender,income,kids,ownHome,subscribe,Segment,sexo
1,47.3161331007,Male,49482.8104378022,2,ownNo,subNo,Suburb mix,0
2,31.3868389018,Male,35546.2883001383,1,ownYes,subNo,Suburb mix,0
3,43.2003422355,Male,44169.1863767717,0,ownYes,subNo,Suburb mix,0
4,37.316995026,Female,81041.986385344,1,ownNo,subNo,Suburb mix,1
5,40.9543898847,Female,79353.0144428184,3,ownYes,subNo,Suburb mix,1
6,43.033865264,Male,58143.3633220434,4,ownYes,subNo,Suburb mix,0
7,37.5569646409,Male,19282.2306219271,3,ownNo,subNo,Suburb mix,0
8,28.4512853208,Male,47245.2384700995,0,ownNo,subNo,Suburb mix,0
9,44.2026812926,Female,48332.519771933,1,ownNo,subNo,Suburb mix,1
10,35.1516687956,Female,52567.8902576842,0,ownYes,subNo,Suburb mix,1
11,47.610968299,Male,47917.5632358862,0,ownYes,subNo,Suburb mix,0
12,37.5803577373,Female,65767.4782922541,0,ownNo,subNo,Suburb mix,1
13,33.2155602683,Female,69337.6563043218,2,ownNo,subNo,Suburb mix,1
14,43.1810912604,Male,57200.1456411947,3,ownYes,subNo,Suburb mix,0
15,39.3574845548,Male,47099.7735756005,1,ownYes,subNo,Suburb mix,0
16,42.0305551887,Male,57036.8373301389,3,ownYes,subNo,Suburb mix,0
17,41.9618930527,Female,53127.0588275019,0,ownYes,subNo,Suburb mix,1
18,43.9813638954,Female,41254.8042913081,0,ownYes,subNo,Suburb mix,1
19,37.6190510198,Female,63528.4749496192,1,ownYes,subNo,Suburb mix,1
20,32.4121456551,Female,52649.5371836263,2,ownYes,subYes,Suburb mix,1
21,47.9415402638,Female,48197.8083458865,1,ownYes,subNo,Suburb mix,1
22,36.7016174985,Female,46163.3833188113,6,ownYes,subNo,Suburb mix,1
23,30.4770539301,Male,44151.930888579,2,ownNo,subNo,Suburb mix,0
24,38.3201001877,Female,56128.0088360211,2,ownYes,subNo,Suburb mix,1
25,32.7270245597,Female,62519.8907870126,4,ownYes,subNo,Suburb mix,1
26,40.4254938147,Female,51195.9683783201,1,ownYes,subNo,Suburb mix,1
27,26.8654552187,Male,59440.8740719398,2,ownNo,subNo,Suburb mix,0
28,44.5025904534,Male,57362.5902217927,0,ownNo,subNo,Suburb mix,0
29,35.1689568315,Female,56112.1227832357,1,ownNo,subNo,Suburb mix,1
30,39.6193178304,Female,76488.6996715437,2,ownNo,subNo,Suburb mix,1
31,53.558141122,Male,65717.4307325919,1,ownNo,subNo,Suburb mix,0
32,43.1108581403,Female,45175.3561767834,3,ownNo,subNo,Suburb mix,1
33,37.1611943559,Male,49943.1184214333,1,ownYes,subNo,Suburb mix,0
34,36.8421195293,Male,60040.7919043144,4,ownNo,subNo,Suburb mix,0
35,45.2754202115,Female,65169.5771918402,0,ownNo,subNo,Suburb mix,1
36,34.4558227227,Male,46765.3105381949,1,ownNo,subNo,Suburb mix,0
37,43.5551437663,Male,61291.8146655005,3,ownYes,subNo,Suburb mix,0
38,42.6874876471,Female,49392.6699351557,1,ownNo,subNo,Suburb mix,1
39,33.1510571478,Female,30769.5507467553,2,ownYes,subNo,Suburb mix,1
40,40.5812336219,Female,59804.9327058118,2,ownYes,subNo,Suburb mix,1
41,44.5456027361,Male,52648.8944132029,2,ownYes,subNo,Suburb mix,0
42,29.9960566788,Female,54260.2017843883,3,ownNo,subNo,Suburb mix,1
43,41.4038151586,Male,49741.6173585756,2,ownYes,subNo,Suburb mix,0
44,42.7547019837,Male,71992.0984508587,1,ownNo,subNo,Suburb mix,0
45,45.862589843,Male,51918.2467853703,1,ownNo,subNo,Suburb mix,0
46,33.5920917872,Male,55377.8222323726,1,ownNo,subNo,Suburb mix,0
47,38.6671237564,Female,67502.1247838015,3,ownYes,subNo,Suburb mix,1
48,39.7431590943,Female,67932.8487708119,1,ownNo,subNo,Suburb mix,1
49,47.1027442034,Female,46714.9353023759,3,ownNo,subNo,Suburb mix,1
50,41.4894377213,Male,28270.1539695448,2,ownYes,subNo,Suburb mix,0
51,37.0245548148,Female,73304.4268406473,2,ownYes,subNo,Suburb mix,1
52,40.3405824175,Male,58037.9194357244,2,ownYes,subNo,Suburb mix,0
53,33.9632234294,Female,55847.4111270778,6,ownYes,subYes,Suburb mix,1
54,43.3935477386,Male,62190.8436469325,3,ownNo,subNo,Suburb mix,0
55,42.0781018867,Female,52813.2367183536,4,ownYes,subNo,Suburb mix,1
56,45.4772148403,Male,51578.9315043458,4,ownNo,subNo,Suburb mix,0
57,36.8803293585,Male,54140.7913131625,1,ownYes,subNo,Suburb mix,0
58,34.4652773515,Male,60971.7595992783,2,ownNo,subNo,Suburb mix,0
59,34.732212094,Male,27670.2186592407,1,ownNo,subNo,Suburb mix,0
60,41.2095872886,Male,59138.2370581565,3,ownNo,subNo,Suburb mix,0
61,40.0336776371,Female,46748.8664882033,1,ownNo,subNo,Suburb mix,1
62,49.0315796484,Male,57948.6189737732,1,ownNo,subNo,Suburb mix,0
63,41.5264856,Female,40776.8761320867,3,ownNo,subNo,Suburb mix,1
64,36.3884088886,Female,49348.1788870206,1,ownNo,subNo,Suburb mix,1
65,46.2089182915,Male,68636.4557921889,1,ownNo,subYes,Suburb mix,0
66,40.0866612934,Female,61386.5003583577,2,ownNo,subNo,Suburb mix,1
67,38.9189302244,Female,39588.2796997143,1,ownNo,subNo,Suburb mix,1
68,32.7928858889,Female,72675.4162314298,3,ownYes,subNo,Suburb mix,1
69,32.3286919047,Female,56246.7084053802,2,ownNo,subNo,Suburb mix,1
70,43.0639077387,Male,59188.6142585915,1,ownNo,subNo,Suburb mix,0
71,36.2237616591,Female,53428.0641047553,1,ownNo,subNo,Suburb mix,1
72,39.8191026278,Female,70379.2582248961,2,ownYes,subNo,Suburb mix,1
73,49.2216836457,Female,38400.5647952483,1,ownYes,subNo,Suburb mix,1
74,41.5414358139,Male,51412.5561886151,1,ownNo,subNo,Suburb mix,0
75,32.8330871516,Male,53166.7449308705,4,ownYes,subNo,Suburb mix,0
76,33.1490702792,Male,85290.5086947677,4,ownNo,subNo,Suburb mix,0
77,44.3263645471,Male,46079.0635448887,1,ownNo,subNo,Suburb mix,0
78,39.4320456528,Male,60008.6669346822,3,ownNo,subNo,Suburb mix,0
79,42.3133743615,Male,49674.7881555613,0,ownYes,subNo,Suburb mix,0
80,39.5830575579,Male,49815.6707818194,1,ownYes,subNo,Suburb mix,0
81,47.8803629165,Female,79544.1969674582,1,ownYes,subNo,Suburb mix,1
82,37.6579429401,Female,52289.0547574023,3,ownNo,subNo,Suburb mix,1
83,43.011013841,Female,66932.7264043687,1,ownYes,subNo,Suburb mix,1
